Name, MatchCount, Wins, Aces, TotalSpeed, DoubleFault, TotalPoints,
Dennis Van Scheppingen, 1, 0, 1, 0.0, 7, 66.0
Di Wu, 2, 0, 7, 148.25, 6, 126.5
Dick Norman, 2, 1, 38, 0.0, 13, 172.5
Diego Hartfield, 1, 0, 3, 167.5, 1, 42.0
Diego Junqueira, 1, 0, 3, 142.5, 5, 136.0
Dieter Kindlmann, 3, 0, 9, 105.83333333333333, 6, 87.33333333333333
Dmitry Tursunov, 13, 5, 125, 51.07692307692308, 5, 121.15384615384616
Dominic Thiem, 2, 1, 30, 85.0, 3, 108.5
Dominik Hrbaty, 17, 12, 108, 75.67647058823529, 5, 120.41176470588235
Donald Young, 9, 4, 33, 100.77777777777777, 6, 108.22222222222223
Dudi Sela, 12, 4, 33, 25.416666666666668, 3, 119.08333333333333
Dusan Lajovic, 2, 1, 14, 76.75, 5, 104.5
Dustin Brown, 1, 0, 29, 0.0, 7, 149.0
Edouard Roger-Vasselin, 8, 4, 63, 81.25, 4, 122.625
Eduardo Schwank, 3, 1, 10, 105.5, 4, 85.0
Eric Prodon, 1, 0, 14, 0.0, 3, 120.0
Ernests Gulbis, 8, 2, 83, 113.1875, 6, 97.5
Evgeny Donskoy, 3, 2, 37, 54.0, 2, 116.0
Evgeny Korolev, 8, 4, 53, 83.0, 5, 97.75
Fabio Fognini, 11, 4, 50, 70.9090909090909, 7, 99.81818181818181
Fabrice Santoro, 17, 10, 112, 99.1470588235294, 2, 101.17647058823529
Federico Delbonis, 1, 0, 4, 0.0, 1, 86.0
Federico Luzzi, 3, 1, 19, 54.0, 6, 108.66666666666667
Feliciano Lopez, 25, 15, 384, 90.98, 5, 111.92
Felix Mantilla, 2, 0, 9, 0.0, 9, 91.5
Fernando Gonzalez, 23, 16, 272, 112.15217391304348, 5, 124.47826086956522
Fernando Verdasco, 29, 18, 245, 136.86206896551724, 6, 115.27586206896552
Fernando Vicente, 1, 0, 4, 0.0, 5, 128.0
Filippo Volandri, 10, 1, 14, 61.35, 5, 87.4
Flavio Cipolla, 6, 2, 8, 46.166666666666664, 5, 99.5
Flavio Saretta, 2, 0, 11, 0.0, 5, 87.0
Florent Serra, 13, 5, 64, 50.07692307692308, 3, 105.6923076923077
Florian Mayer, 22, 12, 149, 78.86363636363636, 2, 104.81818181818181
Frank Dancevic, 6, 1, 76, 80.0, 3, 99.5
Frederico Gil, 6, 3, 10, 73.25, 1, 99.66666666666667
Frederik Nielsen, 1, 0, 0, 0.0, 3, 67.0
Gael Monfils, 25, 16, 275, 137.26, 6, 116.92
Galo Blanco, 2, 1, 5, 73.5, 3, 56.5
Gaston Gaudio, 9, 5, 35, 140.16666666666666, 6, 109.44444444444444
Gilles Muller, 11, 3, 146, 78.4090909090909, 4, 93.63636363636364
Gilles Simon, 22, 14, 134, 118.47727272727273, 4, 119.13636363636364
Glenn Weiner, 2, 1, 53, 0.0, 7, 114.0
Go Soeda, 4, 1, 17, 121.25, 4, 84.75
Greg Jones, 1, 0, 8, 160.5, 8, 94.0
Greg Rusedski, 3, 1, 34, 170.83333333333334, 6, 91.33333333333333
Grega Zemlja, 3, 0, 25, 54.0, 4, 109.66666666666667
Gregory Carraz, 3, 1, 40, 0.0, 8, 99.66666666666667
Grigor Dimitrov, 10, 6, 105, 121.85, 4, 115.1
Guido Pella, 1, 0, 6, 0.0, 2, 86.0
Guillaume Rufin, 3, 1, 13, 111.16666666666667, 4, 91.0
Guillermo Canas, 10, 7, 73, 129.65, 5, 119.0
Guillermo Coria, 8, 5, 24, 148.5625, 8, 120.625
Guillermo Garcia-Lopez, 19, 9, 93, 78.07894736842105, 5, 90.89473684210526
Gustavo Kuerten, 3, 2, 34, 157.16666666666666, 4, 122.0
Harel Levy, 2, 0, 2, 0.0, 4, 69.5
Hicham Arazi, 5, 4, 41, 129.4, 2, 114.2
Horacio Zeballos, 3, 0, 24, 0.0, 3, 69.33333333333333
Hyung-Taik Lee, 6, 1, 28, 134.16666666666666, 3, 96.66666666666667
Igor Andreev, 16, 8, 107, 71.625, 5, 122.5625
Igor Kunitsyn, 7, 2, 33, 43.357142857142854, 2, 107.42857142857143
Igor Sijsling, 2, 0, 27, 82.25, 3, 116.5
Ilija Bozoljac, 2, 1, 22, 0.0, 6, 76.5
Illya Marchenko, 5, 2, 24, 65.2, 7, 102.2
Irakli Labadze, 2, 0, 7, 86.75, 9, 82.0
